GEOID,Income,year
04000US01,21284,1989
04000US02,36006,1989
04000US04,28552,1989
04000US05,21433,1989
04000US06,33009,1989
04000US08,26806,1989
04000US09,42321,1989
04000US10,32068,1989
04000US12,26085,1989
04000US13,27542,1989
04000US15,35035,1989
04000US16,24654,1989
04000US17,31300,1989
04000US18,25898,1989
04000US19,26265,1989
04000US20,26862,1989
04000US21,23283,1989
04000US22,22861,1989
04000US23,28221,1989
04000US24,36016,1989
04000US25,36086,1989
04000US26,30775,1989
04000US27,30185,1989
04000US28,19917,1989
04000US29,26497,1989
04000US30,23692,1989
04000US31,26319,1989
04000US32,29340,1989
04000US33,37532,1989
04000US34,39120,1989
04000US35,22602,1989
04000US36,31496,1989
04000US37,26406,1989
04000US38,25229,1989
04000US39,29021,1989
04000US40,23667,1989
04000US41,28529,1989
04000US42,28690,1989
04000US44,30124,1989
04000US45,23798,1989
04000US46,24108,1989
04000US47,22611,1989
04000US48,25886,1989
04000US49,30717,1989
04000US50,31295,1989
04000US51,34118,1989
04000US53,31961,1989
04000US54,21677,1989
04000US55,29123,1989
04000US56,29521,1989
04000US01,19948,1988
04000US02,33103,1988
04000US04,26435,1988
04000US05,20172,1988
04000US06,30287,1988
04000US08,26214,1988
04000US09,36213,1988
04000US10,30505,1988
04000US12,25406,1988
04000US13,26566,1988
04000US15,33024,1988
04000US16,23450,1988
04000US17,29524,1988
04000US18,26293,1988
04000US19,24305,1988
04000US20,25566,1988
04000US21,19907,1988
04000US22,20497,1988
04000US23,26402,1988
04000US24,36552,1988
04000US25,33213,1988
04000US26,29472,1988
04000US27,29087,1988
04000US28,18166,1988
04000US29,23443,1988
04000US30,22231,1988
04000US31,25159,1988
04000US32,27983,1988
04000US33,34625,1988
04000US34,36287,1988
04000US35,19296,1988
04000US36,28915,1988
04000US37,24415,1988
04000US38,24092,1988
04000US39,27740,1988
04000US40,23667,1988
04000US41,27748,1988
04000US42,26742,1988
04000US44,29842,1988
04000US45,25533,1988
04000US46,22294,1988
04000US47,20856,1988
04000US48,24963,1988
04000US49,26313,1988
04000US50,28988,1988
04000US51,32648,1988
04000US53,32327,1988
04000US54,19353,1988
04000US55,29575,1988
04000US56,26419,1988
04000US01,36266,1998
04000US02,50692,1998
04000US04,37090,1998
04000US05,27665,1998
04000US06,40934,1998
04000US08,46599,1998
04000US09,46508,1998
04000US10,41458,1998
04000US12,34909,1998
04000US13,38665,1998
04000US15,40827,1998
04000US16,36680,1998
04000US17,43178,1998
04000US18,39731,1998
04000US19,37019,1998
04000US20,36711,1998
04000US21,36252,1998
04000US22,31735,1998
04000US23,35640,1998
04000US24,50016,1998
04000US25,42345,1998
04000US26,41821,1998
04000US27,47926,1998
04000US28,29120,1998
04000US29,40201,1998
04000US30,31577,1998
04000US31,36413,1998
04000US32,39756,1998
04000US33,44958,1998
04000US34,49826,1998
04000US35,31543,1998
04000US36,37394,1998
04000US37,35838,1998
04000US38,30304,1998
04000US39,38925,1998
04000US40,33727,1998
04000US41,39067,1998
04000US42,39015,1998
04000US44,40686,1998
04000US45,33267,1998
04000US46,32786,1998
04000US47,34091,1998
04000US48,35783,1998
04000US49,44299,1998
04000US50,39372,1998
04000US51,43354,1998
04000US53,47421,1998
04000US54,26704,1998
04000US55,41327,1998
04000US56,35250,1998
04000US01,36251,1999
04000US02,51396,1999
04000US04,36995,1999
04000US05,29682,1999
04000US06,43629,1999
04000US08,48177,1999
04000US09,50593,1999
04000US10,46628,1999
04000US12,35831,1999
04000US13,39425,1999
04000US15,44504,1999
04000US16,35800,1999
04000US17,46330,1999
04000US18,40838,1999
04000US19,41098,1999
04000US20,37348,1999
04000US21,33738,1999
04000US22,32654,1999
04000US23,38862,1999
04000US24,52205,1999
04000US25,44005,1999
04000US26,46089,1999
04000US27,47038,1999
04000US28,32478,1999
04000US29,41383,1999
04000US30,31038,1999
04000US31,38626,1999
04000US32,41461,1999
04000US33,46055,1999
04000US34,49734,1999
04000US35,32574,1999
04000US36,39989,1999
04000US37,37254,1999
04000US38,32663,1999
04000US39,39489,1999
04000US40,32683,1999
04000US41,40619,1999
04000US42,37758,1999
04000US44,42719,1999
04000US45,36462,1999
04000US46,35828,1999
04000US47,36522,1999
04000US48,38688,1999
04000US49,46050,1999
04000US50,41584,1999
04000US51,45693,1999
04000US53,45473,1999
04000US54,29297,1999
04000US55,45667,1999
04000US56,37248,1999
04000US01,37952,2006
04000US02,56418,2006
04000US04,46657,2006
04000US05,37057,2006
04000US06,55319,2006
04000US08,55697,2006
04000US09,62404,2006
04000US10,52438,2006
04000US12,45676,2006
04000US13,49344,2006
04000US15,60470,2006
04000US16,46213,2006
04000US17,48671,2006
04000US18,45407,2006
04000US19,48126,2006
04000US20,45552,2006
04000US21,39485,2006
04000US22,36488,2006
04000US23,45642,2006
04000US24,63668,2006
04000US25,55330,2006
04000US26,48647,2006
04000US27,56211,2006
04000US28,34733,2006
04000US29,44579,2006
04000US30,41105,2006
04000US31,48145,2006
04000US32,52282,2006
04000US33,61970,2006
04000US34,68059,2006
04000US35,40028,2006
04000US36,48222,2006
04000US37,39797,2006
04000US38,41047,2006
04000US39,45900,2006
04000US40,38838,2006
04000US41,47091,2006
04000US42,48477,2006
04000US44,53736,2006
04000US45,39617,2006
04000US46,45427,2006
04000US47,40693,2006
04000US48,43307,2006
04000US49,54628,2006
04000US50,51981,2006
04000US51,57119,2006
04000US53,54723,2006
04000US54,38419,2006
04000US55,51692,2006
04000US56,47041,2006
04000US01,43464,2012
04000US02,63648,2012
04000US04,47044,2012
04000US05,39018,2012
04000US06,57020,2012
04000US08,57255,2012
04000US09,64247,2012
04000US10,48972,2012
04000US12,46071,2012
04000US13,48121,2012
04000US15,56263,2012
04000US16,47922,2012
04000US17,51738,2012
04000US18,46158,2012
04000US19,53442,2012
04000US20,50003,2012
04000US21,41086,2012
04000US22,39085,2012
04000US23,49158,2012
04000US24,71836,2012
04000US25,63656,2012
04000US26,50015,2012
04000US27,61795,2012
04000US28,36641,2012
04000US29,49764,2012
04000US30,45088,2012
04000US31,52196,2012
04000US32,47333,2012
04000US33,67819,2012
04000US34,66692,2012
04000US35,43424,2012
04000US36,47680,2012
04000US37,41553,2012
04000US38,55766,2012
04000US39,44375,2012
04000US40,48407,2012
04000US41,51775,2012
04000US42,51904,2012
04000US44,56065,2012
04000US45,44401,2012
04000US46,49415,2012
04000US47,42995,2012
04000US48,51926,2012
04000US49,58341,2012
04000US50,55582,2012
04000US51,64632,2012
04000US53,62187,2012
04000US54,43553,2012
04000US55,53079,2012
04000US56,57512,2012
04000US01,41381,2013
04000US02,61137,2013
04000US04,50602,2013
04000US05,39919,2013
04000US06,57528,2013
04000US08,63371,2013
04000US09,67781,2013
04000US10,52219,2013
04000US12,47886,2013
04000US13,47439,2013
04000US15,61408,2013
04000US16,51767,2013
04000US17,57196,2013
04000US18,50553,2013
04000US19,54855,2013
04000US20,51485,2013
04000US21,42158,2013
04000US22,39622,2013
04000US23,50121,2013
04000US24,65262,2013
04000US25,62963,2013
04000US26,48801,2013
04000US27,60907,2013
04000US28,40850,2013
04000US29,50311,2013
04000US30,44132,2013
04000US31,53774,2013
04000US32,45369,2013
04000US33,71322,2013
04000US34,61782,2013
04000US35,42127,2013
04000US36,53843,2013
04000US37,41208,2013
04000US38,52888,2013
04000US39,46398,2013
04000US40,43777,2013
04000US41,56307,2013
04000US42,53952,2013
04000US44,57812,2013
04000US45,43749,2013
04000US46,54453,2013
04000US47,42499,2013
04000US48,53027,2013
04000US49,62967,2013
04000US50,54842,2013
04000US51,67620,2013
04000US53,60106,2013
04000US54,40241,2013
04000US55,55258,2013
04000US56,55700,2013
04000US01,42212,2007
04000US02,62993,2007
04000US04,47215,2007
04000US05,40795,2007
04000US06,55734,2007
04000US08,61141,2007
04000US09,64141,2007
04000US10,54589,2007
04000US12,45794,2007
04000US13,48641,2007
04000US15,64022,2007
04000US16,49184,2007
04000US17,52506,2007
04000US18,47453,2007
04000US19,48908,2007
04000US20,48497,2007
04000US21,39452,2007
